id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,correct_text,explanation
1,Compute,Easy,Which GCP service is best for hosting containerized applications?,Cloud Run,Google Kubernetes Engine (GKE),App Engine Standard,Compute Engine,B,Google Kubernetes Engine (GKE),GKE is a managed Kubernetes service ideal for running containerized applications.
2,Storage,Easy,Which storage class is most cost-effective for long-term backups?,Standard,Nearline,Coldline,Archive,D,Archive,Archive storage offers the lowest cost for data accessed less than once a year.
3,Networking,Medium,"Which GCP service is used for private,internal DNS management?",Cloud CDN,Cloud DNS,Private Google Access,VPC Internal DNS,B,Cloud DNS,Cloud DNS manages DNS zones and supports internal and external name resolution.
4,Security,Medium,Which service helps enforce resource policies across projects?,Cloud Armor,Cloud KMS,Organization Policy Service,Cloud Identity,C,Organization Policy Service,Organization Policy Service lets admins enforce governance policies across projects.
5,Big Data,Hard,Which GCP service allows querying large datasets using SQL?,Dataproc,Dataflow,BigQuery,Pub/Sub,C,BigQuery,"BigQuery is GCP's fully managed, serverless data warehouse for analytical queries."
6,AI/ML,Medium,Which GCP service provides pre-trained machine learning APIs for vision and speech?,Vertex AI,AI Platform,AutoML,Cloud AI APIs,D,Cloud AI APIs,"Cloud AI APIs include Vision, Speech-to-Text, and Natural Language for easy ML integration."
7,Compute,Medium,Which service allows running containers directly without managing servers?,App Engine Flexible,Cloud Functions,Cloud Run,GKE,C,Cloud Run,Cloud Run lets you deploy containers directly on a fully managed serverless platform.
8,Networking,Hard,Which GCP feature connects on-prem networks to Google Cloud via dedicated physical links?,Cloud VPN,Cloud Interconnect,VPC Peering,Private Google Access,B,Cloud Interconnect,"Cloud Interconnect provides high-bandwidth, low-latency connectivity between on-prem and GCP."
9,Storage,Medium,Which GCP service is best suited for managing structured transactional data?,BigQuery,Cloud Spanner,Cloud SQL,Firestore,C,Cloud SQL,"Cloud SQL provides managed MySQL, PostgreSQL, and SQL Server instances for transactional workloads."
10,Security,Easy,Which GCP service encrypts and manages your cryptographic keys?,Cloud HSM,Cloud Armor,Cloud KMS,Secret Manager,C,Cloud KMS,Cloud Key Management Service allows you to create and manage encryption keys securely.
11,Monitoring,Medium,"Which GCP service collects metrics, logs, and traces for observability?",Cloud Trace,Cloud Logging,Cloud Monitoring,Operations Suite,C,Cloud Monitoring,Cloud Monitoring (part of the Operations Suite) offers metrics and alerting across resources.
12,Serverless,Medium,Which GCP service is suited to run small pieces of code that scale without managing any infrastructure?,Cloud Run Functions,App Engine Standard,Cloud Run,Compute Engine,A,Cloud Run Functions,Cloud Run Functions is an event-driven serverless platform triggered by HTTP or cloud events.
13,Big Data,Medium,Which GCP service is ideal for building data pipelines?,Dataflow,Dataprep,Pub/Sub,Composer,A,Dataflow,Dataflow is a managed service for stream and batch data processing based on Apache Beam.
14,Developer Tools,Easy,Which tool provides source code repositories with CI/CD integrations?,Cloud Source Repositories,Cloud Build,Artifact Registry,Cloud Run,A,Cloud Source Repositories,Cloud Source Repositories host private Git repos and integrate with Cloud Build for CI/CD.
15,AI/ML,Hard,Which GCP service lets you train and deploy custom ML models at scale?,AutoML,Vertex AI,AI Platform,BigQuery ML,B,Vertex AI,"Vertex AI unifies training, tuning, and deployment of custom and AutoML models at scale."
